Source,Target,Weight,colour
C16H17O5N3,C21H27O8N3,1,2
C15H17O4N5,C20H27O7N5,1,2
C18H21O5N1,C23H31O8N1,1,2
C17H21O4N3,C22H31O7N3,1,2
C15H12O7N2,C20H22O10N2,1,2
C13H20O8N2,C18H30O11N2,1,2
C16H20O4N4,C21H30O7N4,1,2
C14H24O7N2,C19H34O10N2,1,2
C16H15O7N1,C21H25O10N1,1,2
C14H15O5N5,C19H25O8N5,1,2
C16H19O5N3,C21H29O8N3,1,2
C15H19O4N5,C20H29O7N5,1,2
C15H14O7N2,C20H24O10N2,1,2
C14H14O6N4,C19H24O9N4,1,2
C15H18O5N4,C20H28O8N4,1,2
C17H26O3N4,C22H36O6N4,1,2
C16H17O7N1,C21H27O10N1,1,2
C15H21O4N5,C20H31O7N5,1,2
C15H20O5N4,C20H30O8N4,1,2
C16H24O4N4,C21H34O7N4,1,2
C17H28O3N4,C22H38O6N4,1,2
C14H19O5N5,C19H29O8N5,1,2
C14H18O6N4,C19H28O9N4,1,2
C15H22O5N4,C20H32O8N4,1,2
C15H30O6S1,C20H40O9S1,1,2
C18H17O4N3,C23H27O7N3,1,2
C17H25O6N1,C22H35O9N1,1,2
C18H29O5N1,C23H39O8N1,1,2
C13H16O7N4,C18H26O10N4,1,2
C14H20O6N4,C19H30O9N4,1,2
C15H24O5N4,C20H34O8N4,1,2
C17H15O5N3,C22H25O8N3,1,2
C17H18O4N4,C22H28O7N4,1,2
C14H22O6N4,C19H32O9N4,1,2
C17H17O5N3,C22H27O8N3,1,2
C16H17O4N5,C21H27O7N5,1,2
C17H16O6N2,C22H26O9N2,1,2
C16H16O5N4,C21H26O8N4,1,2
C17H20O4N4,C22H30O7N4,1,2
C18H24O3N4,C23H34O6N4,1,2
C17H15O7N1,C22H25O10N1,1,2
C17H19O5N3,C22H29O8N3,1,2
C16H19O4N5,C21H29O7N5,1,2
C16H14O7N2,C21H24O10N2,1,2
C16H18O5N4,C21H28O8N4,1,2
C17H22O4N4,C22H32O7N4,1,2
C18H26O3N4,C23H36O6N4,1,2
C17H17O7N1,C22H27O10N1,1,2
C16H17O6N3,C21H27O9N3,1,2
C15H17O5N5,C20H27O8N5,1,2
C15H12O8N2,C20H22O11N2,1,2
C15H16O6N4,C20H26O9N4,1,2
C17H24O4N4,C22H34O7N4,1,2
C16H15O8N1,C21H25O11N1,1,2
C17H19O7N1,C22H29O10N1,1,2
C16H22O5N4,C21H32O8N4,1,2
C16H17O8N1,C21H27O11N1,1,2
C15H21O5N5,C20H31O8N5,1,2
C18H25O6N1,C23H35O9N1,1,2
C19H20O3N4,C24H30O6N4,1,2
C16H24O5N4,C21H34O8N4,1,2
C17H28O4N4,C22H38O7N4,1,2
C15H19O5N3S1,C20H29O8N3S1,1,2
C14H18O7N4,C19H28O10N4,1,2
C15H22O6N4,C20H32O9N4,1,2
